"Government revenue, percent of GDP (% of GDP)",Country code,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.30131471,31.42502054,30.24973898,29.72153122,28.14044273,27.88378758,26.72987691,28.54026589,28.50268987,29.94952614,29.33397052,28.71186792,28.46246633,26.61560572,25.72111033,27.38859134,30.78539329,32.08668611,31.87419534,31.55728782,28.48779139,31.38521244,31.93955872,33.61825796,35.34842099,35.37247123,32.45914638,33.09912614,31.23551279,31.92346194,33.40660141,30.57941392,30.22738422,33.86165378,36.33949214
Netherlands,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.809860229,9.57460022,9.582630157,9.129940033,10.91539955,10.42759991,11.44009972,10.46800041,11.04459953,10.23750019,13.86279964,10.66300011,11.13150024,11.14659977,11.41189957,11.2166996,11.10579967,10.95549965,10.86800003,10.60900021,11.04889965,10.28050041,10.51089954,11.01159954,10.10490036,10.38309956,9.989370346,9.888750076,9.814880371,10.02099991,9.307430267,8.925290108,8.833550453,9.080570221,,,,,,,,,,5.941520214,4.426340103,5.62319994,6.820930004,7.559760094,6.760000229,6.922739983,8.137849808,9.242919922,10.05739975,9.316309929,11.14599991,11.07050037,10.61740017,9.917909622,9.982689857,10.07339954,,,,,,,,,,26.33930016,24.7887001,25.78140068,25.19199944,22.71850014,23.3871994,22.92930031,21.68729973,21.53560066,20.04240036,20.86770058,21.29719925,21.77400017,20.72559929,21.32570076,21.12199974,22.27799988,22.01869965,22.15670013,22.3409996,40.93840027,41.67509842,42.97850037,44.17570114,45.11370087,46.12810135,47.93709946,48.79869843,49.84049988,50.22669983,51.2804985,51.2492981,51.92340088,52.90869904,53.63660049,52.89369965,53.66460037,52.38439941,53.11119843,52.14530182,49.45220184,49.5923996,52.26929855,51.52500153,52.92179871,50.00279999,47.22779846,47.54259872,46.29629898,45.80099869,46.43610001,46.14220047,45.09889984,44.09909821,43.94219971,44.32640076,44.50970078,46.05929947,45.43270111,46.71030045,45.99900055,46.19660187,43.35432377,43.80886982,44.66973272,44.56630815,43.41659813,44.14218766,44.11295832,43.93787162,44.00681155,44.0963032,43.63479334,43.26799622,43.62942599,43.4679574
New Zealand,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1072998,12.36699963,11.7585001,12.5333004,10.48960018,10.70709991,12.13129997,12.72710037,12.91069984,12.87069988,14.10599995,13.17980003,12.79370022,14.79880047,13.20359993,14.09060001,13.83880043,14.33320045,14.79409981,14.61229992,14.44200039,13.85910034,14.62709999,14.79399967,15.08759975,14.36380005,15.21119976,14.45860004,14.8597002,14.90820026,13.55700016,13.18719959,13.17039967,14.05169964,13.90100002,13.53730011,13.92070007,14.60410023,14.57540035,13.20069981,13.60050011,16.57859993,17.20000076,17.48320007,17.21220016,19.57040024,17.50600052,19.625,18.49629974,17.95079994,15.15550041,16.7112999,17.1189003,14.59879971,15.60009956,15.89589977,18.84959984,19.73279953,18.3572998,19.13400078,16.70240021,16.05680084,20.97550011,18.69199944,18.6616993,18.80739975,18.60370064,16.31509972,15.25279999,15.67109966,15.87639999,25.2567997,24.09589958,24.5503006,22.58300018,20.42000008,24.78240013,23.27510071,21.57620049,20.37459946,19.95280075,19.85330009,17.40040016,20.71319962,25.37050056,21.16519928,21.60519981,19.11560059,19.34569931,25.17989922,25.13439941,26.02869987,26.21800041,26.02799988,24.78569984,26.8553009,26.48679924,27.03199959,27.30949974,30.17429924,29.50460052,28.87809944,33.22850037,31.85810089,33.13869858,33.09189987,33.62450027,34.72129822,32.00230026,39.18875973,41.56864655,42.65784499,44.24767717,45.66683578,46.85399279,46.86254589,46.26486771,45.28050259,44.7711263,45.32144136,42.46155909,40.58186066,39.66590441,38.15263342,38.48049282,38.53262143,39.32548871,40.36919433,40.65382455,42.24620344,42.47218401,40.68160547,39.97563602,38.5344971,37.41629423,37.40433809,37.51785376,37.31539449,37.31993015,37.56131439,37.39250453,36.94310945,37.34881247,36.29549083,37.66644952,38.37720844,37.64577298,37.67686756,38.25599185
Nicaragua,NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.923339844,9.972299576,10.34850025,11.24839973,10.39000034,11.19519997,11.20790005,10.56519985,9.648940086,9.530179977,10.5223999,12.72039986,12.54129982,14.04059982,13.91129971,13.97259998,14.00319958,14.00949955,13.2656002,14.78289986,23.91349983,28.66419983,29.12520027,18.15950012,20.14599991,18.60720062,18.79520035,,2.404069901,15.59609985,12.98390007,13.34710026,14.58860016,13.77740002,12.63430023,13.03999996,13.03530025,14.5656004,15.6097002,15.23490047,22.71757414,19.56693658,20.79653934,22.18000223,22.51472544,22.98273501,22.71551377,23.36034685,22.14525572,21.84369531,23.28044288,24.12593791,24.30832784,23.90330428,23.69459876,23.80875484,24.91609635,25.55224298,23.33735996,26.53204809,26.35133749,28.74514858,29.222206,28.34060873,29.57799091
Niger,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.303122494,10.5173898,10.51191173,11.40078758,10.68955236,10.67511828,11.14455507,12.23588984,11.86142712,13.30766132,14.02366765,46.24234665,16.65051589,17.98530613,13.76072083,13.30935115,13.13561486,15.81115225,18.51584347,17.51403716,17.49099038,14.89807868,15.39257132,18.15046646,18.0036054,17.54996702,18.16087705,14.80182155,10.42991818,9.156378074
Nigeria,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.70221703,12.42989069,16.88946193,13.92656213,9.103554159,11.39548026,11.23779545,10.81605679,7.689130542,13.52711702,20.45638294,19.62433252,14.7162538,14.92024269,16.9207857,16.13364998,14.96630468,12.08482171,14.25665843,7.175778097,8.820080905,12.58985611,10.44760634,8.15423717,7.766543756,5.149038471,3.633577568,4.669527075,6.039386866,5.561808729,4.706185685,5.121822224,6.610664291,7.288817592,10.75542779
North Macedonia ,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9136337,30.55838025,32.53749554,34.39938366,31.47970124,32.95067039,35.92759211,34.49059795,32.70400492,30.94534095,32.02606731,32.83328111,30.93444149,30.09968054,29.38197188,29.44999282,27.83692077,27.51942172,28.74708831,28.40546475,29.02981042,28.51120556,29.43785252,28.35439331,29.95500683,29.80547517,30.87291535,32.27973296
Norway,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.439109802,5.7052598,5.481070042,6.275169849,6.458620071,6.465970039,6.757969856,6.335350037,6.615459919,6.637050152,6.399879932,6.613140106,6.678120136,6.751840115,7.072480202,7.519659996,8.329710007,8.559120178,6.24545002,7.910490036,8.149140358,8.058919907,8.352640152,8.062529564,8.622349739,8.657290459,8.743080139,10.74300003,9.128720284,8.907039642,9.015879631,9.004699707,9.005869865,5.315268369,4.31765613,3.719969,5.413232346,8.775752773,7.87732042,7.493333333,8.223201175,7.469879518,7.424454673,5.613342898,6.71045624,7.985363754,8.605974395,8.599857854,8.078250863,8.13342472,8.589276419,8.208182289,6.699430936,6.833824975,6.717102247,7.216494845,7.400107508,8.134546079,8.523908524,,,,,,,14.64169979,17.88269997,17.62590027,18.67250061,17.16460037,15.39610004,16.4428997,18.53269958,16.97340012,18.63800049,17.89819908,18.77099991,19.34329987,18.76580048,19.39389992,19.65029907,34.5685997,34.5196991,35.03839874,35.72119904,37.04750061,39.0923996,39.58340073,41.57450104,41.73720169,44.45569992,46.17919922,47.25469971,46.26399994,46.42160034,47.44490051,47.54869843,48.86959839,49.33840179,51.50920105,50.89699936,50.55379868,52.39179993,51.4333992,53.83819962,54.00450134,55.03779984,55.26250076,53.97679901,55.50529861,54.62670135,53.93000031,53.17670059,54.00600052,54.15909958,54.79539871,54.46549988,52.40319824,53.68280029,57.67399979,57.42710114,56.26610184,55.4681015,56.56990051,57.17919922,58.87680054,58.62039948,59.67470169,56.79980087,56.52249908,56.53847482,56.07990123,54.06281196,53.79734244,54.19066553,54.44085192,54.18041511,55.50781598,56.72545836,54.15052397,56.60176895,62.99729369,62.48015558,61.72228604
Oman,OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.28537476,37.5644548,35.29037164,33.21890576,32.28018995,34.3457174,35.70110194,36.86079747,31.75856388,34.47487289,43.38199469,40.82380349,39.45111447,39.87642007,39.50723444,41.83624958,42.28181555,41.21215343,40.24234583,33.10081344,35.53104889,42.73353889,42.70235999,42.070601,39.83847599,31.06774689,24.99164043,28.96926099,31.6013947,33.94849427,28.86498496,33.31976107,41.44667621,34.33738758,32.0031817
Pakistan,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.318749905,5.726669788,6.81193018,5.805940151,6.21792984,6.168280125,5.90639019,5.714789867,6.458570004,7.96984005,6.173279762,6.013700008,8.388959885,8.169549942,7.18599987,7.868330002,7.748290062,8.675499916,8.098179817,8.556850433,12.79209995,14.60569954,10.3355999,9.889180183,10.84150028,11.47910023,11.98250008,11.63529968,13.17949963,13.63249969,16.65469933,15.80249977,16.23629951,17.21430016,16.52540016,17.74760056,17.8321991,17.77779961,18.57139969,19.04210091,18.03919983,16.13380051,16.41889954,11.47034796,10.88433281,10.07429357,10.68727809,9.862392834,9.659405025,10.16732746,10.60778944,10.49372522,11.72796481,12.73576442,10.83405,10.66675082,11.68175979,11.8871042,12.09761545,12.76996848,12.90130952,11.68898431,11.68526374,12.0252443,13.72497189,13.09416523,13.78875246,13.95667387,13.43453566,11.264619,13.26482908,12.41708228,12.11627199,11.53407513,12.66943504
Panama,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.66810036,13.02330017,12.4513998,12.26920033,12.1789999,12.12119961,11.95650005,13.51539993,13.90880013,13.64459991,13.48700047,12.63710022,13.84819984,12.72280025,13.50959969,13.4698,13.42570019,12.36139965,11.56840038,12.05090046,12.82489967,12.94009972,12.74330044,12.93360043,14.41609955,14.46189976,14.38379955,14.36289978,14.70660019,14.55340004,13.2336998,15.23970032,22.41690063,22.85090065,25.35230064,23.88290024,34.70190048,37.03390121,36.48009872,37.10070038,37.64670181,38.37310028,28.3260994,29.43330002,37.80580139,20.31410027,25.1439991,24.44720078,27.2777959,28.2236168,23.934388,23.4031659,22.31186342,22.36188359,24.83224482,23.0098255,22.5031816,21.94065926,18.97213806,20.14010849,22.40429828,24.93465726,23.08372007,21.78486876,22.51968393,21.58340115,21.50295749,21.04579536,19.75586805,19.08155121,19.39982885,19.29304997,18.94887427,17.74574012,17.34005377,17.30181434,17.36639849,17.48182246,15.73066432
Papua New Guinea,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.45943442,18.64384185,18.28229723,18.17221867,19.62151393,21.23586687,19.86444319,19.50888251,20.76049278,20.23557297,19.06711779,18.85665961,21.46218714,23.46090646,24.78245866,24.92063667,22.48803484,19.16856733,21.45606252,21.90341166,21.22709806,20.74002382,20.78540517,18.29613531,16.1221065,15.89194485,17.73925875,16.31667286,14.65575787,15.12716965,16.64197348,17.90824948,17.13580604
Paraguay,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.47780037,11.125,12.41110039,12.07509995,11.08419991,9.951840401,10.26169968,11.10779953,9.257530212,9.742970467,11.02460003,8.446310043,15.87387053,15.02511482,13.43664158,14.67525825,13.31609539,12.58808858,12.22863193,12.33040966,12.82788582,12.76036619,17.31211848,18.09839373,14.78327458,16.0697622,17.19808635,19.06714286,18.50274079,19.34936181,21.05659257,22.23623349,21.86536607,19.07304178,19.11345613,15.74844162,14.5292541,15.34819377,14.7817473,14.9930013,14.35970076,14.11919355,14.84742963,14.87126794,15.99170438,17.00066906,15.92096902,16.86418199,17.54082389,17.32548837,17.61819971,17.47381418,17.67906698,16.91259884,17.05503955,17.52203927,17.66647495,18.87605611
Peru,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.591160059,3.93701005,3.846149921,3.782510042,4.454339981,4.462470055,4.914929867,5.035970211,5.311359882,4.173620224,4.55284977,5.194809914,5.120480061,5.591050148,4.936309814,3.465349913,3.574700117,3.685499907,3.353869915,4.010350227,4.07035017,3.642770052,3.733030081,4.320640087,4.627769947,4.319250107,4.614699841,4.794839859,5.364329815,5.842700005,6.369969845,5.52602005,5.232910156,5.553170204,5.913780212,6.222720146,6.388000011,6.282700062,7.931280136,7.722219944,6.916510105,7.742400169,7.506649971,9.350819588,8.163410187,8.811670303,9.38656044,12.59309959,11.80350018,9.63904953,11.4059,11.49650002,10.53909969,9.536419868,14.56939983,16.77289963,17.31900024,15.64519978,14.22579956,14.78670025,16.64229965,17.21279907,16.7628994,14.35579967,13.52429962,13.92510033,13.15789986,15.29640007,15.06999969,15.31099987,13.93130016,13.13099957,13.28969955,12.79829979,13.21850014,13.22770023,12.68099976,12.9144001,13.89019966,15.81970024,16.95840073,14.45259953,14.3586998,11.8980999,13.85910034,14.80770016,12.49629974,9.194009781,9.27493,10.81980038,12.36470032,13.73400021,15.52050018,15.36629963,15.02169991,15.48779964,16.23859978,16.07600021,16.0727005,14.91790009,19.61924691,18.77988546,18.24519611,18.49100249,18.52515818,19.94306175,21.19119238,21.94150767,22.3789422,19.86587263,20.98633615,21.84236696,22.37505334,22.21120828,22.2091453,19.97338054,18.38624996,17.83420395,19.0241403,19.45209563,17.48464348,20.64704874,21.73118552,19.336231,18.73043084
Philippines,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73913002,6.333330154,6.11111021,5.348480225,7.042860031,9.166669846,7.939020157,7.709300041,8.07777977,8.395830154,8.807689667,8.254389763,8.225000381,8.984729767,9.021430016,9.307189941,10.39770031,9.703519821,8.669770241,7.9489398,9.030890465,8.803449631,8.91588974,8.810199738,10.14150047,10.19960022,16.77359962,16.45919991,16.6833992,15.19169998,13.25930023,12.85709953,13.31459999,13.41009998,13.97539997,12.58860016,11.8927002,12.27639961,10.78240013,11.99300003,12.92280006,14.6413002,13.14140034,14.08476755,17.28861789,17.78049668,17.98718801,18.2192696,19.23792273,19.08656137,20.15757424,20.65408725,19.02841293,18.46158031,17.53541389,17.52240762,16.85067192,16.92016234,16.56286439,17.11633741,18.23592916,17.89889312,17.90062989,16.64042084,16.09457829,16.83829387,17.48603198,17.69416318,18.15289122,17.9303593,18.2665079,18.70560447,19.42948642,20.21707896,20.3744659,20.96676046,20.40573149,20.28231601,21.16202777
Poland,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.93551254,45.75220771,41.36724132,39.65604428,40.06592897,38.92505234,39.84889271,40.11456709,39.29012736,38.36150816,40.18771499,40.76561142,40.95408421,40.43043219,37.66690365,38.5690115,39.14366923,39.37476653,38.96346704,39.02048609,38.90165931,38.66925993,39.64496834,40.79565406,40.68889242,40.88190465,41.82275242,39.81063385,41.59162876,42.82570157
Portugal,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11135006,5.378630161,5.599999905,5.426499844,5.622260094,5.518340111,5.735360146,6.151850224,5.854990005,5.799119949,6.026800156,5.547279835,6.115590096,6.522190094,6.794839859,6.804059982,6.299489975,6.247439861,6.466919899,6.653719902,6.631969929,6.544640064,6.871940136,6.867619991,7.007100105,7.113190174,7.309380054,7.866889954,7.561319828,7.797339916,7.355539799,7.233109951,8.957480431,7.606319904,,,,5.821269989,5.815649986,5.259829998,6.458429813,6.351530075,7.479780197,7.92305994,7.490389824,8.66339016,7.391379833,7.559979916,8.907910347,10.15170002,8.665379524,8.73775959,8.927550316,8.903039932,9.017660141,9.344349861,8.716759682,9.070469856,9.131899834,8.475729942,8.569109917,9.036979675,9.242420197,8.642510414,8.409589767,8.558489799,9.705060005,9.205410004,8.544699669,8.895449638,8.980899811,9.927160263,9.272950172,9.652020454,9.769089699,9.904179573,10.17560005,10.3828001,10.32740021,10.16749954,11.12059975,11.46549988,12.83269978,11.30980015,11.93270016,13.39859962,12.44299984,13.68299961,13.02019978,13.39000034,15.27610016,15.21889973,15.10159969,20.32740021,22.63269997,24.78350067,27.98080063,27.58469963,24.58799934,24.73270035,25.43989944,27.00349998,28.73430061,29.87100029,29.36359978,29.14109993,31.46649933,30.71319962,32.63819885,33.37969971,32.44670105,34.41699982,38.10609818,36.68920135,35.32730103,36.5033989,37.53210068,37.75310135,37.33860016,38.28129959,38.19430161,38.15670013,39.3628006,40.69210052,41.26340103,39.88890076,40.45360184,41.14929962,41.10699844,39.72259903,41.56100082,42.3001862,42.63103964,44.74365404,44.34332679,43.84227666,42.92196406,42.4836491,42.85567246,42.59734374,43.37103199,44.51769266,43.56339701,43.52292,43.46789368
Qatar,QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.956277,51.45804908,53.27285422,47.97034328,46.46410833,46.42714887,38.24426742,48.11084133,38.00857365,34.40737301,36.59031053,39.47192537,35.21775582,47.60987292,38.7932877,37.94025517,39.79965007,33.0361832,50.5615409,36.59678859,33.73302364,39.53739593,47.56324262,45.66766757,57.00665667,30.93508116,27.84306302,31.15581852,33.46306433,32.56589029,29.61152509,34.72437773,32.81955226,26.67082949
Romania,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.49940109,21.50519943,21.9897995,24.33279991,28.24060059,31.79599953,33.41329956,32.99620056,28.67239952,28.11720085,31.11520004,34.11309814,38.11880112,41.00429916,38.12189865,40.14559937,42.12239838,41.98479843,31.68260002,31.04229927,28.82220078,35.11100006,43.8144989,47.95690155,48.17549896,43.06669998,45.04079819,37.25,,41.5137948,36.9797262,33.10363418,30.9024387,31.07279066,28.71799031,28.33233534,29.39694315,31.53450978,31.04807408,29.96310275,29.48757831,29.52967867,30.26112814,31.61084236,32.4971861,31.51895823,30.66683413,29.45323548,31.20401149,30.91342346,31.08501414,31.78099139,31.99888606,32.81516592,29.31590985,28.16247213,28.97176344,28.67968563,28.5409922,30.34427685,31.532476,31.03952711,31.25351681
Russian Federation,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.34490013,13.37839985,11.6807003,11.91919994,13.93500042,14.25,14.10099983,13.33240032,13.23219967,14.54520035,16.33270073,16.25020027,15.55490017,15.47439957,14.99870014,15.57929993,15.85429955,15.06700039,18.10740089,15.24479961,16.09539986,17.96590042,17.4477005,16.13459969,15.7482996,16.30489922,17.42230034,15.85319996,,,,,,,,,,,,,,,,5.307889938,7.349430084,11.0326004,7.420410156,6.281559944,5.214690208,5.091730118,4.537559986,4.415400028,4.548870087,5.900050163,6.65955019,5.642590046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.25928496,30.70014279,33.75779095,34.45551143,34.49052335,33.94881343,34.20314646,37.05482627,36.84329297,37.52688505,36.55990184,32.7072292,32.31095438,34.69302993,34.41103898,33.48969105,33.86823513,31.88702711,32.91617542,33.3612456,35.5443019,35.68187685,35.16381617,35.71537696,33.81794103,33.48576289,35.26731768
Rwanda,RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29720556,13.67501363,3.78257528,15.96537153,14.50164122,14.77755555,13.77834641,17.96194444,18.0191935,17.26411022,18.42135829,17.26449565,20.1497449,21.07097668,20.54742904,20.85358637,23.28412029,22.57242791,23.19405489,23.82768249,22.19065142,24.88497862,23.56144647,23.91101021,22.86575161,22.57528832,23.80258213,23.12310917,23.91711167,24.56330424,23.9189981,21.98256286,22.21351676
Saint Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.92806664,19.13375193,20.27854002,21.56896404,23.03884963,24.58801575,24.56966143,23.95472798,24.00846068,22.47112357,21.29587277,19.98964905,23.70097794,25.20150074,27.07910362,31.21685185,31.16045781,31.12732794,27.9590614,29.14437771,27.01145646,31.86746538,31.50287762,39.56395129,36.48391863,34.70403522,29.82360729,27.21293074,35.54340006,36.54108234,33.474728,46.61772434,45.30036878,42.87040717,32.17367612
Saint Lucia,LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.89105154,19.48926515,20.47235101,20.21887465,19.92082967,16.78544911,17.54492304,17.63679041,21.29634584,18.71900286,18.88650639,18.25753462,17.93915613,20.7921634,22.49622107,19.75423208,18.96376681,19.9804956,19.31623591,19.91247978,19.28108446,19.40915141,20.59222721,21.6268369,21.55973398,21.53007528,21.50375951,20.18111236,20.30814968,20.33048144,21.17137643,21.85073154,21.9757589,22.1241993,21.61171421,21.60612995,21.04326094,21.14049664,22.13729103,22.20057296
