"Government primary balance, percent of GDP (% of GDP)",Country code,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Morocco,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.579056853,3.478333761,2.498362698,2.620281575,1.949374302,2.113383714,5.113222424,5.754177155,5.576844213,7.18674587,2.216080368,0.095425541,-0.949881265,-0.528581862,-0.240159176,-2.539107653,1.041823953,2.62876858,2.97555864,0.528015827,-1.863563996,-4.020112947,-4.372499422,-2.303065416,-2.220082001,-1.983158274,-1.94954896,-0.876120098,-1.177277812,-1.426386151,-4.64946928,-3.801060549,-3.228300962,-2.296381496,-1.799650102
Mozambique,MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.468349446,-7.404005967,-3.599330516,-15.72943947,-13.35531572,-9.640723124,-11.72992458,-6.0459062,-5.089388301,-2.474113603,-3.057477171,-1.175406872,-0.240551995,-0.752647945,-3.158618373,-1.21157504,-1.034217291,-0.866815222,-0.372692932,0.089738645,-1.138658812,-4.026408846,-2.46024043,-1.793590542,-2.430881743,-1.448397424,-2.462213352,-1.734082752,-1.497230176,-3.942703411,-2.807874114,-3.492829743,-2.57847103,-1.695389339,-8.736441522,-5.378559117,-2.994580921,0.046747674,-3.01274033,4.91638914,-3.423699744,-2.681882024,-2.280163995,-0.400664661,-2.027125434
Myanmar,MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.466736032,-3.049417606,-4.527359482,-4.862335799,-2.753440932,-3.150624241,-3.523824171,-2.366678478,-2.380665795,-2.494392236,-1.592614377,-2.216554085,-3.989092401,-3.410767403,-1.289441224,-0.215008947,0.194527094,-3.187521674,-1.216065068,-1.952821854,-1.236090908,-3.155818564,-4.595410033,0.361662488,-0.39491143,-2.616935598,-2.581217431
Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.871191422,-1.301671453,-2.318302682,-2.164253728,0.272899386,-0.779195207,-2.382916892,-0.663281892,-0.615957215,0.222896022,1.124062857,-0.151105369,0.760719004,-2.203173417,-0.428098317,2.097880041,5.781364493,7.954785716,5.08879571,1.15836401,-3.740929309,-5.87712446,-1.629843855,-3.176233931,-4.961505931,-6.596435883,-6.835642208,-1.991821428,-1.853267516,-1.811513782,-3.94381146,-4.424626571,-1.907386075,1.76668601,1.571547478
Netherlands,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.623900652,0.930830598,1.28289032,0.577210426,2.632329941,2.448699713,3.11896944,2.50115037,2.864999771,2.729210138,2.779349804,2.729809761,0.933570623,2.458359957,3.076649666,2.887579203,2.735019445,2.218160152,2.041650295,2.590990543,2.541689396,2.308120728,2.070239305,2.357649088,1.399620056,2.148229599,2.157050848,1.976759672,1.357530355,1.571490407,0.862300038,1.472470045,1.089860559,1.066759825,,,,,,,,,,-0.971669793,-1.704080105,-0.392190099,0.812829852,1.185279965,0.822130442,0.22428,0.86139977,-0.117270112,-0.234200597,-0.802270293,1.092079878,1.261170268,1.503230214,1.737579226,1.134099483,-1.77365005,,,,,,,,,,5.160699844,3.391820908,4.427871227,4.379499435,-0.894980192,2.624059439,1.353559494,0.72447896,1.78918004,0.70062089,0.634860992,2.323109388,1.013369203,-0.07069087,0.714621305,-0.03415072,0.045149565,-1.12014091,-0.658589602,-1.656790257,1.631541252,1.360297918,1.253279448,1.99585104,3.224142551,2.609140873,0.099020243,0.910359859,2.232271671,1.047079086,0.842227459,-0.250763655,-0.534989834,-1.09798193,0.063292503,0.676849365,2.591320038,1.565729141,0.721319675,1.801062584,0.73440218,0.47524929,3.337546825,2.070120811,3.285747051,2.018699646,-3.583110332,3.411048412,3.680840492,3.798458099,4.690659046,5.62466073,2.913968086,0.697348833,-0.556648731,0.716690779,2.075090885,2.718329906,2.363202333,2.709060431,-3.376920223,-3.085057259,-2.564278452,-2.093486795,-1.193268296,-0.653967496,-0.494868953,1.413267609,2.373541841,2.400437968,2.685332147,-3.0237745,-1.716561045,0.570727093,0.307389635,-0.238583325
New Zealand,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.469310641,2.121379972,1.592289448,3.194779754,5.649680018,6.64472127,5.398570299,3.74922967,5.660959482,2.257449865,3.756499767,3.810429096,3.317169428,3.325780392,3.211800814,3.082580805,2.443399429,3.877029657,3.079450607,3.086239338,5.131449699,3.745259285,4.999151707,3.364400148,2.833760977,2.789910078,2.672909498,2.314489603,2.870509386,2.217649698,3.073619485,2.560040355,,,3.12376976,2.194420338,2.206869841,2.2848804,2.401490092,2.945560932,1.567001104,1.286210418,1.791730046,2.388339877,1.417310834,1.121779203,1.208719373,1.017585337,1.031209826,0.999222457,0.739409804,1.723999858,1.457388282,2.529408693,2.640669584,2.801889658,3.157349348,2.757930756,2.714680433,2.54885006,2.273360252,2.203750134,2.300399065,0.244330645,1.517919064,-0.311070681,-3.067557573,-1.068001986,-2.139978886,-1.94563818,-1.944970608,-2.89540863,-1.382349907,-0.517971351,1.627833881,3.553847514,3.778196788,3.825520028,1.361636873,1.593499518,5.814654772,8.636685499,9.872702178,7.86717466,5.675597921,3.468363011,2.338605581,3.390578189,4.27318167,5.342684157,6.504462694,7.187456964,7.663353503,6.839762988,5.158059222,2.63767586,-0.378709114,-3.869396725,-3.099753421,-0.241285748,0.563619078,1.419197219,2.063854274,2.568654771,2.840342348,2.680987291,-1.204860688,-3.119201475,-2.239837738,-2.596117129,-1.611003041,-1.550745558
Nicaragua,NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.36416324,,-15.23067126,-2.268679261,-0.812710047,-0.684509277,-0.776369095,0.436620235,-1.391119003,2.45249033,1.709710598,-2.462929249,4.264674685,2.991511267,5.526713357,4.358791553,3.302874485,3.197639661,2.763125463,3.032989927,1.146213285,0.117960856,1.755895109,1.623553502,1.218986191,0.376822909,-0.196381664,-0.895007693,-1.020956991,-0.726077469,-3.248519068,0.180816319,-1.300244203,-0.011777219,1.964480918,3.809843445,4.432848853
Niger,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.266051567,1.012103035,-1.145634717,-0.995036298,-3.006717618,-1.467741058,-1.167511167,-1.037357298,-1.289617989,-2.352420085,-1.087917842,31.24285383,-0.488395831,1.280203686,-3.75940473,-0.83063445,-1.946037177,-0.603702996,-1.704326881,-5.824819414,-6.283019291,-3.780113269,-3.393090629,-2.05833247,-2.570653052,-3.771412697,-4.966961921,-5.532784213,-3.989698551,-2.460843249
Nigeria,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.807377804,2.877206776,5.755313001,-1.595354992,-0.155917059,4.301159186,4.594436257,2.373163913,-2.105393924,2.265310691,5.768473403,0.563590521,2.288445574,1.354364767,4.876649318,4.811294622,6.700672462,-0.346837506,4.495196073,-3.319838755,-2.516230704,0.904687848,0.599893313,-1.189363179,-1.035975212,-1.896186929,-2.388414531,-2.883029788,-1.605585154,-1.965697065,-2.311119494,-2.160368608,-2.350405693,-0.284461885,0.903117006
North Macedonia,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.661633021,0.173971794,1.438332655,4.048316976,-4.155135379,-3.857698179,0.947449709,1.234134338,1.059731831,0.429073431,1.359032349,-0.295982068,-2.038000878,-1.684896077,-1.726032237,-2.903559651,-2.918362752,-3.230287834,-2.319868898,-1.556841528,-1.373065461,-0.590276254,-0.796756958,-6.848414488,-4.071182983,-4.110337027,-3.175138939,-2.553680295
Norway,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.457509935,0.041184843,0.498537064,0.608871043,0.731376886,0.550074875,0.586194813,0.330980062,0.452340901,0.315129995,0.063222826,-0.440553725,-0.634492636,-0.519604981,-1.058647811,-0.881365538,0.021223545,-0.784068108,-0.970703125,-1.36134702,-0.684197545,-0.789705634,-0.288808286,0.078531802,0.473024547,0.419880748,1.110116959,1.099430203,0.312685966,1.064179361,0.734963238,-0.176014721,-0.252776146,-0.4220964,-1.64224869,-0.061997239,0.643798401,-0.715131769,-1.673931587,-0.589334018,-4.458518843,-2.897600164,-1.813085691,-1.142386777,-0.049704087,0.340073975,1.159314592,1.177448081,1.065591075,1.343385061,1.025505886,1.188502027,0.801860803,1.320054991,0.630452114,0.818554805,1.118077641,1.218466319,0.518148689,,,,,,,-2.273079872,-3.451940656,0.670500994,0.237615883,0.143871188,2.400955856,2.90312475,1.962789059,0.112494707,1.595813692,2.153867781,2.497883022,2.686167777,2.883067667,2.405551612,0.270233274,5.29109025,3.965188742,4.497768283,4.190249085,5.010281444,5.616408587,4.904919982,5.132220745,4.421142936,5.333049655,5.671218157,6.778670073,5.901228666,4.412021637,4.030111313,3.113986731,3.388630152,5.038893223,8.457719088,7.813379049,6.869547367,9.086289167,10.00977874,13.02462888,9.847761154,8.488048315,6.176479578,5.418000698,5.700299978,3.310359955,1.365032196,1.856140137,3.321439743,6.000349522,8.749407053,9.694250584,5.363746881,7.768419743,16.89034081,15.14645267,11.02084041,9.099301696,12.54617,16.27071786,19.94213879,18.79978061,20.57039011,11.90858901,11.91478825,14.42847844,14.60606359,11.47992046,9.414168045,6.822700142,4.790928215,5.614090204,8.470491791,7.22347931,-1.893473347,10.70009889,25.97007974,17.65456403,14.39010401
Oman,OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.570816089,1.504629951,-3.055478217,-5.0145524,-5.696648747,-1.997748142,4.018188833,6.29142071,-2.72357336,1.744086893,13.7211593,9.39680619,6.87188652,6.694578805,6.111847646,11.70013361,12.56848652,10.90759492,14.84507015,-0.059604802,5.095298171,8.366521053,4.208138948,2.932718398,-1.428494982,-13.35025534,-19.14326276,-9.264701005,-4.961752351,-2.810814761,-12.61746973,-0.033960365,13.07833379,9.43133863,5.584161513
Pakistan,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.065869272,0.835556746,-0.527978942,-2.435152933,-2.898110062,-1.691634864,-2.096998692,-1.850000322,-3.847859263,-3.200623989,-3.303154349,-4.118317783,-2.827607155,-5.877977014,-4.295947909,-2.577062607,-3.815504491,-3.537325323,,,,-5.911319733,-1.665319681,-2.643479347,-3.089599967,-7.676020026,-7.488070607,-7.111200929,-9.890220165,-9.752289414,-3.344439983,-3.906859636,-6.110131025,-4.772699833,-5.817950249,-7.392840147,-6.272931099,-7.629321098,-5.123150349,-2.320258141,-0.517810345,-1.112349033,-1.739009857,-1.732252698,0.055892012,-0.738319922,-0.555475791,0.106762559,0.01916274,1.368979066,1.549262254,1.690842951,1.430353673,3.029982118,1.287074939,0.151393999,-0.338990188,-0.931310531,-2.065993276,-0.193782029,-1.524833052,-2.695819732,-3.764415259,-3.523832141,-0.262843918,-0.453968792,-0.062652313,-1.378501097,-1.845967102,-3.014696815,-1.52048755,-1.116604856,-3.042751641,-0.916281904,0.955719897
Panama,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.102314472,,,-3.170067847,-0.443836093,-0.759126127,-3.16828686,-2.35578531,-4.41811955,-2.316831112,-6.064392745,-1.729188681,-0.417986512,-0.409205198,-1.240059257,-0.757803977,-6.612622619,-7.005500674,1.029569626,0.450609684,1.715939879,1.80643034,1.338440418,-0.20208025,1.199331045,,,,,-6.502248764,-0.645977497,-0.641111851,4.381741047,5.411000252,3.915151119,-4.391051292,-2.942399979,5.684322357,2.377319813,0.914298296,-5.460159063,6.216630722,7.044626203,5.094430552,4.009322018,1.590621263,2.56259194,5.811371732,3.443746848,2.797326813,1.865939083,-0.510263073,1.811809772,4.408368853,6.220099331,3.155587937,1.641557178,0.669667044,0.107893369,0.457103654,-0.639007687,-1.584333672,-0.620538251,-0.214868887,-0.249652873,-1.164055119,-1.079837774,-7.720671997,-4.191915295,-2.258388871,-1.340616283,-4.503605936
Papua New Guinea,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.057823919,-2.687616549,1.347230292,4.078428711,4.677706138,3.388676083,2.835754126,1.174862352,3.364037096,1.511524446,0.917575321,3.867043194,3.943196851,4.374721047,6.591888582,8.26393,3.996243595,-4.018176138,4.013272913,3.234225395,-0.170617287,-5.777768089,-4.63175382,-2.81923425,-2.827196261,-0.372026856,-0.245703431,-2.436438677,-6.23462329,-4.388745268,-2.943673112,-1.847214995,-0.805161881
Paraguay,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.467994079,-2.069528729,-1.277927607,-1.007170498,-0.87249887,-2.174420506,-0.636053145,1.88177827,-1.032377392,0.133163616,0.096835136,-3.154313415,4.494941633,3.770830824,0.496916912,1.909536324,0.643461095,0.083552386,1.386859714,3.658590341,3.550305257,3.793633646,7.352995086,9.21615249,4.276328008,3.92942615,5.012394792,5.255518198,3.501817994,2.982901468,3.475164945,4.954242053,3.372424171,0.445308954,1.15832506,-0.732391326,0.902109095,2.159625166,1.551856955,1.594066592,1.845161937,2.70704037,0.979063826,1.806726996,1.485989323,-0.406441399,-0.90703883,0.021189739,0.037227998,0.188936362,0.143794211,-0.342295187,-1.613034678,-4.653729694,-2.297710957,-1.404731912,-2.148951284,-0.143068186
Peru,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312302113,-0.897289217,-1.14436084,-4.974640369,-3.294950247,-4.791998863,-7.111260891,-4.535350323,-1.307810068,2.918849707,0.755967617,-0.810466528,-0.399472475,-3.626990318,-0.660387278,0.80760622,-2.081139684,-4.886929989,-1.74857986,0.250345111,-1.791939259,1.667540312,0.609526634,0.766654491,0.566054106,0.383928299,1.288990498,1.36131978,1.263560057,-0.987872243,0.442382683,0.170230978,0.804435671,0.593566384,1.094117032,1.596127577,3.982545443,5.20466775,4.110246834,-0.148121778,1.167354776,3.2059403,3.145177582,1.839984132,0.855119935,-1.001637411,-1.089711023,-1.698283731,-0.726751589,-0.117484779,-6.681848128,-1.129488958,0.030776763,-1.263819927,-2.043849828
Philippines,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.737778883,-1.253131691,-0.682690889,-0.425435409,-0.065829203,0.056486487,-0.84502691,-0.099348828,-0.171296149,-0.43513912,-0.702792764,-1.297016412,-0.457525164,-1.084112376,-2.045771122,-2.378199071,0.044343382,-0.533548355,3.742949814,2.766502172,6.289719522,0.965163946,0.001810849,0.172077596,0.693043113,2.426410377,1.497379541,-0.224335849,0.243096948,1.46148932,2.645950079,3.275240421,2.901769876,4.35281992,3.033410072,3.543413278,4.268566305,4.235121486,3.938178103,4.449953698,4.504971632,4.202182909,4.513898312,4.030466843,2.587884306,1.361651315,0.8537959,1.164983812,0.618275118,1.330137345,2.121413158,3.423999033,4.562573469,3.270971214,3.271712024,0.598841886,0.652733057,2.093524654,2.290507977,2.737580825,3.474762042,2.107009604,1.035748425,0.875708077,0.168736987,0.066642873,-3.726961222,-4.428542556,-3.497617323,-2.105657719,-1.198199457
Poland,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.316037457,-0.298947817,-0.092814231,-0.256628995,0.638625127,-0.985550929,-1.61754384,-1.928994032,-3.057919737,-2.297071965,-1.470220623,-1.167187827,0.294956507,-1.488291441,-4.790185542,-4.930393627,-2.432088947,-1.115369963,-1.703050036,-1.694354704,-0.843672747,-0.678599683,0.075023687,1.179309836,0.624643247,-5.563279323,-0.65124494,-1.910089231,-3.201061069,-4.383956831
Portugal,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.414139986,1.821950197,2.51177001,1.862210035,1.342000246,1.114880323,1.283550024,2.063730001,0.586410046,0.791779757,0.726500273,0.889129877,1.408859968,2.074679852,1.932219744,1.871420145,0.852600098,1.165980101,1.693949938,1.582999945,1.8478899,1.611600161,1.74265027,1.200839996,1.864030361,1.293519974,1.597370148,1.364570141,1.583729982,1.266949892,1.783209801,1.383229733,2.037290812,1.716639757,,,,,,-8.055085003,-4.962711334,-5.228129745,-7.783489704,-1.518690109,-0.794280052,0.609569788,-1.973560572,-0.745430112,1.888920784,3.151680112,2.214909792,1.201199651,1.191640258,1.034070015,1.72424984,1.911939979,1.128200054,0.932530046,0.908606768,0.253560781,-0.814126492,0.693260968,0.407913268,0.824804008,-0.634988606,-1.632103801,-1.619033635,-1.017033935,-1.456386983,0.094770372,-0.299907148,1.440545559,0.1926952,0.225065887,-0.009609878,0.264401436,0.366527975,0.606755435,-0.019031912,-1.257691741,-2.623123527,-2.647376776,-1.137829125,-2.721602619,-1.294562638,0.601068735,-1.398987532,0.154463649,-0.629135191,-0.966482997,0.291166961,0.258883655,-7.259927839,-5.017107844,-2.763636768,-6.382020473,-9.113990784,-5.890961051,-5.012250423,-3.76158905,-4.555442333,-4.39153862,-2.687178135,0.083499432,0.286580563,-2.02889061,0.390079021,0.240428448,2.693850517,2.879461765,1.803052425,1.100250244,3.465716839,-0.297739506,-1.030070305,0.554199696,0.279821873,0.356122494,-0.392160416,0.189299107,-0.013036728,-1.418658495,-0.165599585,-0.432108402,-0.843780518,-3.433487892,-1.401099443,-0.209689379,-0.620512009,-7.257620811,-6.755637884,-3.462155572,-1.375470441,-0.444996238,-2.50399569,0.160073491,2.151133593,0.731628349,2.894716816,3.019722607,-2.918429231,-0.461445298,1.578146322,3.27407257,2.759304104
Qatar,QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.537092571,-1.098649601,-8.515543883,-10.91963733,-2.120237559,-4.039051115,-5.117225811,-0.246544656,1.218220388,8.896644778,8.906180498,11.25536371,9.045364229,19.38972896,10.96872925,9.322259868,11.02792572,9.986164361,15.3059758,5.840867747,6.688000039,10.00384149,20.54598345,14.52472364,19.93484313,-7.718380243,-5.423933452,3.728704693,2.709248522,0.191413252,2.013213235,11.75105637,7.008288708,2.008679525
Romania,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.696412802,6.576451659,3.207554698,8.843648702,-2.746255994,,3.270076024,-4.310270415,0.581060238,-0.863003273,-1.962754958,-3.065965645,-1.406549853,-0.707992812,1.644838045,0.830585201,0.598875982,0.3834801,-0.190053846,-2.112700117,0.50082043,-0.561875771,-2.319075968,-3.905311918,-5.71579953,-4.873672381,-2.622749443,-0.661078939,-0.739874926,-0.233841267,-0.0040245,-1.165108904,-1.667315165,-1.388861268,-3.412449842,-8.18526689,-5.192760122,-3.738615982,-3.700937872,-6.615403147
Russian Federation,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.799870253,2.972970247,3.366990328,4.025800228,4.762560606,3.338229895,2.342589855,1.714700222,3.499390125,4.335350513,3.96634078,4.144930124,2.895740509,2.449599504,2.911500216,1.843629599,2.35296917,0.524530411,3.248831034,-3.06750083,-5.486740351,-0.567729712,1.727540493,1.645129204,2.147559643,3.750238895,3.461679697,2.57515955,,,,,,,,,,,,,,,,-0.276549906,-0.242769048,-1.465414762,-1.016996518,,0.717218205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.105479715,1.978478675,7.159189825,5.514936961,2.628990926,2.935004682,5.697313993,8.493568856,8.494395495,6.12067793,4.975061851,-5.320610188,-2.668448246,1.978694748,0.949549775,-0.558360147,-0.405272438,-2.590955676,-2.759769949,-0.585263348,3.781525679,2.691740748,-3.073667943,1.66142339,-0.556670014,-1.452683849,-0.41336017
Rwanda,RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.521295709,-4.683675078,-5.855357367,-0.010119709,-3.593163804,-1.16602185,-1.731432388,-3.52445199,0.365533447,-1.125097589,-1.295636364,-0.347608696,3.142266764,1.820689205,0.595402724,-1.061704731,1.270563636,0.612930233,-0.227560907,-0.457853197,-1.974767551,-0.431408998,-3.145587229,-1.844473255,-1.30363125,-1.48129872,-1.396707019,-3.793996087,-7.92331609,-5.181007197,-3.873124642,-2.884952675,-4.172197342
