Model,Scenario,version,Region,Country code,Unit,Variable,Type,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD ENV-Growth 2025,SSP1,1,Brazil,BRA,USD_2010/yr,GDP|PPP [per capita],ANNUAL,15402.68303,16463.10288,18701.20683,21980.95448,26278.0936,31332.53594,37039.34772,43346.01107,50306.31444,57720.14461,65544.76689,73595.05116,81792.38904,90080.5758,98409.13934,106768.6799
OECD ENV-Growth 2025,SSP1,1,Brazil,BRA,USD_2015/yr,GDP|PPP [per capita],ANNUAL,15674.09454,16753.2001,19030.74181,22368.28206,26741.1413,31884.64824,37692.02006,44109.81347,51192.76472,58737.23439,66699.73476,74891.87352,83233.65713,91667.89048,100143.2121,108650.0566
OECD ENV-Growth 2025,SSP1,1,Brazil,BRA,USD_2017/yr,GDP|PPP [per capita],ANNUAL,15999.26357,17100.75586,19425.54662,22832.32626,27295.90324,32546.1155,38473.96492,45024.89953,52254.79109,59955.77557,68083.46306,76445.55294,84960.39214,93569.59901,102220.7465,110904.0709
OECD ENV-Growth 2025,SSP1,1,Brunei Darussalam,BRN,USD_2010/yr,GDP|PPP [per capita],ANNUAL,71470.6687,80444.46191,88668.09508,93953.75709,96924.95393,98687.30364,100222.231,102179.3985,104835.8838,107364.5011,109971.0508,112545.9741,115223.4789,118204.2382,121661.1927,125649.0697
OECD ENV-Growth 2025,SSP1,1,Brunei Darussalam,BRN,USD_2015/yr,GDP|PPP [per capita],ANNUAL,59751.35627,67253.6831,74128.85644,78547.80871,81031.80731,82505.17795,83788.41751,85424.66095,87645.55248,89759.54298,91938.68699,94091.39048,96329.85482,98821.84784,101711.9527,105045.9226
OECD ENV-Growth 2025,SSP1,1,Brunei Darussalam,BRN,USD_2017/yr,GDP|PPP [per capita],ANNUAL,60299.41768,67870.55861,74808.79356,79268.27809,81775.06084,83261.94578,84556.95568,86208.20735,88449.46971,90582.8505,92781.98243,94954.4313,97213.42766,99728.27816,102644.8921,106009.4424
OECD ENV-Growth 2025,SSP1,1,Bulgaria,BGR,USD_2010/yr,GDP|PPP [per capita],ANNUAL,23196.70483,27627.18258,32425.27804,37387.43677,42272.44717,46862.8054,51399.04464,56003.95996,60711.15422,65447.56761,70232.92283,75093.58597,80056.17306,85175.15612,90488.31551,96149.11478
OECD ENV-Growth 2025,SSP1,1,Bulgaria,BGR,USD_2015/yr,GDP|PPP [per capita],ANNUAL,25792.56595,30718.84279,36053.87613,41571.33248,47003.00709,52107.05606,57150.92979,62271.16487,67505.12459,72771.57323,78092.44061,83497.04335,89014.97601,94706.80634,100614.5426,106908.8219
OECD ENV-Growth 2025,SSP1,1,Bulgaria,BGR,USD_2017/yr,GDP|PPP [per capita],ANNUAL,28138.50091,33512.84193,39333.11746,45352.40809,51278.1148,56846.39703,62349.03084,67934.97137,73644.98023,79390.43302,85195.25414,91091.42669,97111.23694,103320.7615,109765.8296,116632.5982
OECD ENV-Growth 2025,SSP1,1,Burkina Faso,BFA,USD_2010/yr,GDP|PPP [per capita],ANNUAL,2082.494085,2506.362171,3216.138919,4080.906614,5168.746866,6490.090384,8106.268073,10100.2613,12505.20374,15288.42646,18474.7355,22070.3652,26122.5343,30711.93468,35885.39464,41651.03763
OECD ENV-Growth 2025,SSP1,1,Burkina Faso,BFA,USD_2015/yr,GDP|PPP [per capita],ANNUAL,2117.520213,2548.517471,3270.23218,4149.544677,5255.681659,6599.249273,8242.609967,10270.1408,12715.53273,15545.56736,18785.46793,22441.57367,26561.89749,31228.48846,36488.96248,42351.57964
OECD ENV-Growth 2025,SSP1,1,Burkina Faso,BFA,USD_2017/yr,GDP|PPP [per capita],ANNUAL,2391.678297,2878.477327,3693.633373,4686.791598,5936.141567,7453.662619,9309.791349,11599.82922,14361.82921,17558.27209,21217.64678,25347.11326,30000.90074,35271.68128,41213.23569,47834.89348
OECD ENV-Growth 2025,SSP1,1,Burundi,BDI,USD_2010/yr,GDP|PPP [per capita],ANNUAL,606.9587511,727.4292315,899.2987192,1139.652842,1474.61637,1915.077929,2488.394294,3236.68827,4188.286711,5358.29022,6776.601244,8468.126021,10460.26265,12787.79565,15497.99657,18640.92173
OECD ENV-Growth 2025,SSP1,1,Burundi,BDI,USD_2015/yr,GDP|PPP [per capita],ANNUAL,789.9262804,946.7125502,1170.392042,1483.200842,1919.139022,2492.377583,3238.51999,4212.386957,5450.844456,6973.545164,8819.405611,11020.84001,13613.50562,16642.67272,20169.86289,24260.22187
OECD ENV-Growth 2025,SSP1,1,Burundi,BDI,USD_2017/yr,GDP|PPP [per capita],ANNUAL,774.4952373,928.2187205,1147.528681,1454.226827,1881.649046,2443.689514,3175.256186,4130.098867,5344.36336,6837.318431,8647.120384,10805.55023,13347.56866,16317.56162,19775.84887,23786.30356
OECD ENV-Growth 2025,SSP1,1,Cabo Verde,CPV,USD_2010/yr,GDP|PPP [per capita],ANNUAL,7512.431821,9156.169079,11107.03416,13134.7726,15217.6729,17261.53721,19363.26582,21623.19689,24130.08956,26805.83897,29592.28502,32398.16827,35214.20905,38071.85086,40982.54422,43937.23773
